Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,95,21.12632,0.77791,5.16842,1.09111,0.04628,0.04628
1,95,21.52632,0.79448,5.23158,1.10690,0.02484,0.02484
2,95,21.34737,0.78483,5.44211,1.14889,0.03536,0.03536
3,95,22.34737,0.82479,4.71579,0.99777,0.00431,0.00431
4,95,22.55789,0.82933,4.74737,1.00222,0.00758,0.00758
5,95,22.01053,0.81425,4.75789,1.01119,0.00781,0.00781
6,95,22.36842,0.82364,4.71579,0.99556,0.00934,0.00934
7,95,21.73684,0.80225,4.81053,1.01782,0.01095,0.01095
8,95,21.72632,0.79876,4.89474,1.03333,0.01438,0.01438
9,95,21.44211,0.79138,5.07368,1.07350,0.01967,0.01967
10,95,22.55789,0.82933,4.81053,1.01556,0.01264,0.01264
11,95,22.86316,0.84579,4.70526,1.00000,0.00967,0.00967
12,95,23.16842,0.85310,4.70526,0.99333,0.00883,0.00883
13,95,23.26316,0.85859,4.67368,0.98886,0.00881,0.00881
14,95,23.26316,0.85526,4.67368,0.98667,0.00728,0.00728
15,95,23.01053,0.84926,4.66316,0.98664,0.00991,0.00991
16,95,23.12632,0.85023,4.65263,0.98222,0.00910,0.00910
17,95,22.75789,0.84190,4.57895,0.97315,0.00950,0.00950
18,95,22.94737,0.84496,4.64211,0.98000,0.00935,0.00935
19,95,22.02105,0.81274,4.67368,0.98886,0.01318,0.01318
20,95,21.94737,0.80689,4.70526,0.99333,0.01492,0.01492
21,95,21.35789,0.78827,4.78947,1.01336,0.02076,0.02076
22,95,21.21053,0.77980,4.81053,1.01556,0.02048,0.02048
23,95,20.73684,0.76713,4.77895,1.01566,0.02615,0.02615
24,95,21.53684,0.79302,4.75789,1.00444,0.02250,0.02250
25,95,21.75789,0.80303,4.69474,0.99332,0.01975,0.01975
26,95,22.12632,0.81347,4.65263,0.98222,0.01882,0.01882
27,95,22.97895,0.84810,4.56842,0.96659,0.00958,0.00958
28,95,22.87368,0.84094,4.60000,0.97111,0.01096,0.01096
29,95,22.47368,0.83139,4.61053,0.97987,0.01291,0.01291
30,95,22.84211,0.84109,4.63158,0.97778,0.01150,0.01150
31,95,22.08421,0.81507,4.66316,0.98664,0.01432,0.01432
32,95,22.92632,0.84288,4.60000,0.97111,0.01052,0.01052
33,95,22.10526,0.81585,4.67368,0.98886,0.01509,0.01509
34,95,22.40000,0.82353,4.66316,0.98444,0.01306,0.01306
35,95,22.50526,0.83255,4.57895,0.97315,0.01159,0.01159
36,95,21.38947,0.78760,4.74737,1.00222,0.01422,0.01422
37,95,22.32632,0.82401,4.60000,0.97327,0.01002,0.01002
38,95,21.97895,0.80805,4.69474,0.99111,0.01510,0.01510
39,95,21.82105,0.80536,4.65263,0.98441,0.01195,0.01195
40,95,21.62105,0.79489,4.71579,0.99556,0.01303,0.01303
41,95,21.26316,0.78660,4.69474,0.99776,0.01368,0.01368
42,95,21.91579,0.80698,4.65263,0.98222,0.01137,0.01137
43,95,21.37895,0.78904,4.72632,1.00000,0.01466,0.01466
44,95,21.45263,0.78870,4.71579,0.99556,0.01272,0.01272
45,95,21.06316,0.77739,4.67368,0.98886,0.01879,0.01879
46,95,21.68421,0.79721,4.69474,0.99111,0.01863,0.01863
47,95,21.64211,0.80062,4.61053,0.97987,0.01850,0.01850
48,95,22.30526,0.82132,4.60000,0.97111,0.01676,0.01676
49,95,21.66316,0.79953,4.63158,0.97996,0.01953,0.01953
50,95,21.74737,0.79954,4.60000,0.97111,0.02388,0.02388
51,95,21.26316,0.78477,4.65263,0.98441,0.02386,0.02386
52,95,20.58947,0.75697,4.69474,0.99111,0.03025,0.03025
53,95,20.08421,0.74299,4.83158,1.02685,0.03520,0.03520
54,95,20.24211,0.74535,4.80000,1.01333,0.03830,0.03830
55,95,19.49474,0.71950,4.86316,1.02895,0.05459,0.05459
56,95,20.08421,0.73839,4.71579,0.99556,0.04345,0.04345
57,95,20.62105,0.76107,4.62105,0.97773,0.03580,0.03580
58,95,20.37895,0.74923,4.65263,0.98222,0.04053,0.04053
59,95,19.88421,0.73559,4.61053,0.97987,0.04346,0.04346
60,95,20.13684,0.74147,4.66316,0.98444,0.04083,0.04083
61,95,19.76842,0.72960,4.71579,0.99777,0.04045,0.04045
62,95,19.77895,0.72717,4.66316,0.98444,0.04949,0.04949
63,95,19.58947,0.72300,4.75789,1.00668,0.05233,0.05233
64,95,20.44211,0.75155,4.56842,0.96444,0.03894,0.03894
65,95,18.72632,0.69276,4.76842,1.01342,0.07500,0.07500
66,95,19.73684,0.72674,4.56842,0.96444,0.05462,0.05462
67,95,19.28421,0.71173,4.56842,0.96659,0.06891,0.06891
68,95,18.65263,0.68576,4.72632,0.99778,0.08547,0.08547
69,95,19.52632,0.72067,4.58947,0.97105,0.05765,0.05765
70,95,18.96842,0.69737,4.62105,0.97556,0.07176,0.07176
71,95,18.56842,0.68692,4.61053,0.97987,0.07384,0.07384
72,95,18.17895,0.66938,4.71579,0.99556,0.09295,0.09295
73,95,17.96842,0.66317,4.67368,0.98886,0.09334,0.09334
74,95,18.07368,0.66447,4.75789,1.00444,0.09138,0.09138
75,95,17.90526,0.66084,4.74737,1.00445,0.09438,0.09438
76,95,18.14737,0.66718,4.56842,0.96444,0.09307,0.09307
77,95,17.77895,0.65771,4.55789,0.96868,0.09646,0.09646
78,95,17.71579,0.65233,4.45263,0.94000,0.11073,0.11073
79,95,17.75789,0.65540,4.50526,0.95323,0.10623,0.10623
80,95,17.69474,0.65054,4.52632,0.95556,0.10484,0.10484
81,95,17.75789,0.65540,4.52632,0.95768,0.10043,0.10043
82,95,17.56842,0.64590,4.49474,0.94889,0.10370,0.10370
83,95,16.75789,0.61994,4.49474,0.95526,0.12725,0.12725
84,95,16.75789,0.61705,4.42105,0.93333,0.14211,0.14211
85,95,16.29474,0.60140,4.52632,0.95768,0.16322,0.16322
86,95,16.41053,0.60333,4.41053,0.93111,0.17651,0.17651
87,95,16.29474,0.60140,4.43158,0.93764,0.16903,0.16903
88,95,15.90526,0.58475,4.38947,0.92667,0.18073,0.18073
89,95,16.20000,0.59930,4.28421,0.91051,0.18767,0.18767
90,95,16.02105,0.58992,4.45263,0.94000,0.18214,0.18214
91,95,14.93684,0.55128,4.42105,0.93541,0.22426,0.22426
92,95,15.87368,0.58359,4.33684,0.91556,0.18902,0.18902
93,95,16.25263,0.59984,4.28421,0.90646,0.17582,0.17582
94,95,15.63158,0.57469,4.21053,0.88889,0.20077,0.20077
95,95,15.03158,0.55607,4.24211,0.90157,0.22182,0.22182
96,95,15.20000,0.55969,4.16842,0.88000,0.21818,0.21818
97,95,15.26316,0.56333,4.15789,0.87973,0.22033,0.22033
98,95,14.68421,0.53986,4.07368,0.86000,0.24721,0.24721
99,95,13.69474,0.50544,3.85263,0.81514,0.29366,0.29366
